label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80
A,0.0,0.0,0.0,-0.2824212908744812,-0.22485823929309845,-0.061993300914764404,-0.44472745060920715,-0.6328033208847046,-0.08757562190294266,-0.49328792095184326,-0.9920636415481567,-0.12876318395137787,-0.5194747447967529,-1.2663151025772095,-0.14497728645801544,-0.29309365153312683,-0.9673593640327454,0.046104796230793,-0.372124046087265,-1.243609070777893,-0.0830547958612442,-0.3663398325443268,-0.9675419926643372,-0.1472352147102356,-0.2924940884113312,-0.8294862508773804,-0.17261123657226562,-0.13173331320285797,-0.9910465478897095,0.02175077609717846,-0.20393751561641693,-1.2967233657836914,-0.11152735352516174,-0.2149013727903366,-0.9599498510360718,-0.12205899506807327,-0.14438742399215698,-0.8316207528114319,-0.09639306366443634,0.0379645936191082,-0.9769037961959839,-0.03213049843907356,-0.015825513750314713,-1.3193516731262207,-0.15471984446048737,-0.05775666609406471,-0.9956481456756592,-0.0987473875284195,-0.005736995488405228,-0.8412732481956482,-0.030986610800027847,0.2148461639881134,-0.9223467111587524,-0.09853708744049072,0.1620635688304901,-1.1763660907745361,-0.1703329086303711,0.08690504729747772,-0.9801670908927917,-0.1363409012556076,0.10552948713302612,-0.8403809070587158,-0.09233814477920532,0.6404836773872375,0.25854605436325073,0.19883327186107635,0.1425018608570099,0.13677339255809784,0.493055135011673,0.5762032270431519,0.676447331905365,0.7581695914268494,0.027633944526314735,-0.0485842265188694,-0.1139906793832779,-0.05263914167881012,0.5038992762565613,0.29953688383102417,0.19883327186107635,0.202702596783638,0.303331583738327
A,0.0,0.0,0.0,-0.2951943278312683,-0.22525252401828766,-0.05068570747971535,-0.45734283328056335,-0.6394059062004089,-0.06687838584184647,-0.49864861369132996,-0.9911710619926453,-0.09896544367074966,-0.5244531035423279,-1.2556072473526,-0.10499588400125504,-0.29913875460624695,-0.964036762714386,0.05540848895907402,-0.38749390840530396,-1.2372057437896729,-0.06716599315404892,-0.37000009417533875,-0.9485905766487122,-0.12561477720737457,-0.29260551929473877,-0.8167212009429932,-0.14779113233089447,-0.14124859869480133,-0.9896050095558167,0.027033349499106407,-0.22616145014762878,-1.280516505241394,-0.10295822471380234,-0.21966147422790527,-0.9369487166404724,-0.11095359176397324,-0.1445043683052063,-0.8208833336830139,-0.08344203978776932,0.023811474442481995,-0.9802271723747253,-0.029521450400352478,-0.0476360060274601,-1.303584337234497,-0.14515671133995056,-0.07287900149822235,-0.9723449945449829,-0.08460499346256256,-0.012355396524071693,-0.8387649655342102,-0.015633881092071533,0.19495758414268494,-0.9313085079193115,-0.098050057888031,0.12484552711248398,-1.1720646619796753,-0.15917475521564484,0.061740268021821976,-0.9635644555091858,-0.11833938211202621,0.09266547113656998,-0.8376263976097107,-0.0716552883386612,0.6210159063339233,0.25106701254844666,0.20169879496097565,0.14667128026485443,0.1411973536014557,0.4982024133205414,0.5777633190155029,0.6663235425949097,0.7460930943489075,0.04279525205492973,-0.02155384048819542,-0.0893620029091835,-0.03334059566259384,0.4848036766052246,0.28872358798980713,0.20169879496097565,0.20294496417045593,0.2958931028842926
A,0.0,0.0,0.0,-0.29178687930107117,-0.23245151340961456,-0.04723662510514259,-0.453906387090683,-0.638931930065155,-0.06351771205663681,-0.502133309841156,-0.9889435172080994,-0.09668966382741928,-0.5327024459838867,-1.2519066333770752,-0.10508067905902863,-0.2915671169757843,-0.9650218486785889,0.0612509585916996,-0.38602563738822937,-1.2305660247802734,-0.05909257009625435,-0.36671000719070435,-0.9538850784301758,-0.11820434778928757,-0.29033929109573364,-0.8164715766906738,-0.14065831899642944,-0.13615639507770538,-0.9901596903800964,0.03232945129275322,-0.22581231594085693,-1.2811018228530884,-0.09506690502166748,-0.22098775207996368,-0.9450297951698303,-0.10643168538808823,-0.14788535237312317,-0.8218834400177002,-0.0824686586856842,0.02695406600832939,-0.9793733358383179,-0.024142049252986908,-0.04364410415291786,-1.310633897781372,-0.14112739264965057,-0.07016105949878693,-0.9876827001571655,-0.08789443224668503,-0.01207474060356617,-0.8388561010360718,-0.023727763444185257,0.19733105599880219,-0.9290378093719482,-0.09166643023490906,0.13412858545780182,-1.1738288402557373,-0.16178075969219208,0.0694865956902504,-0.9704815745353699,-0.12834300100803375,0.09513885527849197,-0.8309347629547119,-0.08498000353574753,0.6194144487380981,0.2506712079048157,0.20404186844825745,0.14583727717399597,0.14181733131408691,0.49960923194885254,0.5775079727172852,0.6695388555526733,0.756178617477417,0.03557763621211052,-0.02261202409863472,-0.08135291934013367,-0.020100679248571396,0.49461275339126587,0.28959405422210693,0.20404186844825745,0.2035471647977829,0.3043214976787567
A,0.0,0.0,0.0,-0.288548082113266,-0.24089665710926056,-0.04668504372239113,-0.4523097276687622,-0.6317672729492188,-0.06525290757417679,-0.5022516250610352,-0.9716672897338867,-0.1000281348824501,-0.528060257434845,-1.2342694997787476,-0.1094098836183548,-0.29031816124916077,-0.9669706225395203,0.05655568093061447,-0.39010384678840637,-1.2289903163909912,-0.06213899701833725,-0.36950328946113586,-0.9439228177070618,-0.11929059028625488,-0.29201096296310425,-0.8114691376686096,-0.14059710502624512,-0.13675378262996674,-0.9902229309082031,0.027511872351169586,-0.2298872172832489,-1.2722748517990112,-0.09968527406454086,-0.22168882191181183,-0.9285682439804077,-0.11100137233734131,-0.14894893765449524,-0.8124460577964783,-0.08742845803499222,0.024401405826210976,-0.9775075316429138,-0.027962444350123405,-0.05220261961221695,-1.3029571771621704,-0.1420883685350418,-0.07724108546972275,-0.9739827513694763,-0.08614130318164825,-0.02046673186123371,-0.8308000564575195,-0.020974580198526382,0.19075064361095428,-0.9240256547927856,-0.09428495913743973,0.12438421696424484,-1.174251914024353,-0.15894217789173126,0.060003358870744705,-0.9677302837371826,-0.12043577432632446,0.08546870201826096,-0.8324393033981323,-0.07414805889129639,0.6088488101959229,0.2511031925678253,0.21204861998558044,0.15357433259487152,0.1409887820482254,0.4852340519428253,0.5675769448280334,0.6544154286384583,0.7342538237571716,0.031187228858470917,-0.02198142372071743,-0.08843529969453812,-0.03526182472705841,0.4810686409473419,0.290376216173172,0.21204861998558044,0.20319764316082,0.2908835709095001
A,0.0,0.0,0.0,-0.29502248764038086,-0.23507492244243622,-0.05296626687049866,-0.46275466680526733,-0.6299731731414795,-0.07351420074701309,-0.5069790482521057,-0.9783746004104614,-0.1084529384970665,-0.5304529666900635,-1.2393267154693604,-0.11596266180276871,-0.3067814111709595,-0.96612548828125,0.0442902147769928,-0.3957473933696747,-1.2274619340896606,-0.0787934958934784,-0.3733791708946228,-0.9333340525627136,-0.13333530724048615,-0.29409560561180115,-0.8070539832115173,-0.15247488021850586,-0.14444558322429657,-0.989348828792572,0.018008749932050705,-0.22815564274787903,-1.268273949623108,-0.1107964813709259,-0.22252365946769714,-0.9182286262512207,-0.11395024508237839,-0.14845816791057587,-0.8141838908195496,-0.08486104011535645,0.022548431530594826,-0.9778597354888916,-0.035866107791662216,-0.047888558357954025,-1.288504719734192,-0.1515275090932846,-0.07549344003200531,-0.9529596567153931,-0.08676926046609879,-0.017482701689004898,-0.8238148093223572,-0.0156964473426342,0.192814439535141,-0.925248920917511,-0.10150658339262009,0.1283620297908783,-1.1647876501083374,-0.16032975912094116,0.06260202825069427,-0.9524720311164856,-0.11485942453145981,0.08852306008338928,-0.826309084892273,-0.06517861038446426,0.6145703196525574,0.2533400356769562,0.20317740738391876,0.160434290766716,0.14827510714530945,0.4940219223499298,0.572393000125885,0.66771399974823,0.7458511590957642,0.036512214690446854,-0.031101621687412262,-0.1002662181854248,-0.05078405141830444,0.4789978861808777,0.2910175323486328,0.20317740738391876,0.2113223671913147,0.2962709963321686
A,0.0,0.0,0.0,-0.2925370931625366,-0.23010800778865814,-0.05297422036528587,-0.45926615595817566,-0.6267644762992859,-0.07407143712043762,-0.503658652305603,-0.9771488308906555,-0.1100219339132309,-0.5298783183097839,-1.2411293983459473,-0.11799336969852448,-0.30638760328292847,-0.9698262810707092,0.04772922024130821,-0.39753612875938416,-1.2346725463867188,-0.07930849492549896,-0.3715006113052368,-0.9382116794586182,-0.13790257275104523,-0.28983771800994873,-0.8079981207847595,-0.15869157016277313,-0.1446496844291687,-0.9892451763153076,0.021690212190151215,-0.22974525392055511,-1.2611548900604248,-0.10886920243501663,-0.2180657982826233,-0.9122879505157471,-0.1137564405798912,-0.14278577268123627,-0.8115629553794861,-0.08591077476739883,0.02101420983672142,-0.9762530326843262,-0.03260570392012596,-0.047027673572301865,-1.2894253730773926,-0.14836496114730835,-0.0717388466000557,-0.9536946415901184,-0.08159596472978592,-0.013352816924452782,-0.8237400054931641,-0.009306821040809155,0.19263282418251038,-0.9229177832603455,-0.0990835577249527,0.13104678690433502,-1.1608271598815918,-0.15785807371139526,0.06797036528587341,-0.9479559659957886,-0.11133693158626556,0.09409551322460175,-0.8231729865074158,-0.06052594631910324,0.6199672818183899,0.2628151476383209,0.20773158967494965,0.15806375443935394,0.1454142928123474,0.49686869978904724,0.5791348814964294,0.6729229092597961,0.7532153725624084,0.04069818928837776,-0.03208259865641594,-0.10868655145168304,-0.057467423379421234,0.48099714517593384,0.2940537929534912,0.20773158967494965,0.21352200210094452,0.30222299695014954
A,0.0,0.0,0.0,-0.29968440532684326,-0.2512533664703369,-0.04743780195713043,-0.45832765102386475,-0.6463732719421387,-0.06476153433322906,-0.5033745765686035,-0.9931659698486328,-0.09803855419158936,-0.5303874611854553,-1.2502185106277466,-0.10361263900995255,-0.30524978041648865,-0.9694503545761108,0.05683829262852669,-0.3874495327472687,-1.2405586242675781,-0.06544916331768036,-0.36413824558258057,-0.947441577911377,-0.12320999801158905,-0.29047828912734985,-0.8206213712692261,-0.1443130373954773,-0.14270241558551788,-0.9893383383750916,0.029080426320433617,-0.2183670550584793,-1.279362440109253,-0.09363412111997604,-0.2124929130077362,-0.9330151081085205,-0.0980188176035881,-0.14590701460838318,-0.8280370831489563,-0.07138005644083023,0.022018959745764732,-0.9717819690704346,-0.02622361108660698,-0.038747355341911316,-1.2919111251831055,-0.13275548815727234,-0.06910140812397003,-0.9615594744682312,-0.06613680720329285,-0.02034510113298893,-0.8276676535606384,0.004256236832588911,0.19095128774642944,-0.9119571447372437,-0.0933949425816536,0.1378130316734314,-1.1531546115875244,-0.14030106365680695,0.07208650559186935,-0.9595216512680054,-0.09065252542495728,0.09214005619287491,-0.8422272801399231,-0.04040946066379547,0.6093694567680359,0.25065934658050537,0.19005440175533295,0.15327318012714386,0.1320355087518692,0.49372726678848267,0.5719277262687683,0.6710649132728577,0.7469885945320129,0.04070039838552475,-0.032232578843832016,-0.10786887258291245,-0.06320317834615707,0.48576292395591736,0.2834932506084442,0.19005440175533295,0.20426687598228455,0.28569474816322327
A,0.0,0.0,0.0,-0.30351728200912476,-0.25115451216697693,-0.04204017296433449,-0.4658501148223877,-0.6464709639549255,-0.05910540372133255,-0.5108605027198792,-0.995022177696228,-0.09403932094573975,-0.5393713116645813,-1.2547158002853394,-0.10242263972759247,-0.3057591915130615,-0.9687358736991882,0.06152411550283432,-0.38778603076934814,-1.2465176582336426,-0.06335563212633133,-0.36484986543655396,-0.9503256678581238,-0.12242332100868225,-0.29198670387268066,-0.8190926909446716,-0.14368245005607605,-0.14430101215839386,-0.9890828728675842,0.029870929196476936,-0.21910735964775085,-1.2855558395385742,-0.09503985941410065,-0.21465148031711578,-0.9319812059402466,-0.09976140409708023,-0.14992490410804749,-0.8277794718742371,-0.07262095808982849,0.019816411659121513,-0.9742912650108337,-0.02926274761557579,-0.03982299566268921,-1.2991737127304077,-0.14088822901248932,-0.07118566334247589,-0.9595189094543457,-0.07429201155900955,-0.023267250508069992,-0.8258649706840515,-0.002544287359341979,0.18873967230319977,-0.9165276288986206,-0.09941625595092773,0.13332968950271606,-1.1585477590560913,-0.15097519755363464,0.06834529340267181,-0.9537572860717773,-0.10098131000995636,0.08993136137723923,-0.8344842195510864,-0.04962368682026863,0.614201545715332,0.25434720516204834,0.191193625330925,0.15684528648853302,0.13774433732032776,0.5026618838310242,0.5786460638046265,0.6784188151359558,0.7585539817810059,0.04125981405377388,-0.029801683500409126,-0.09987835586071014,-0.05279895290732384,0.4941082298755646,0.28430354595184326,0.191193625330925,0.20576685667037964,0.29169324040412903
A,0.0,0.0,0.0,-0.294194757938385,-0.24334780871868134,-0.0472029373049736,-0.4583102762699127,-0.6302739381790161,-0.06626806408166885,-0.5083102583885193,-0.9796880483627319,-0.10049125552177429,-0.5392492413520813,-1.2389615774154663,-0.10642432421445847,-0.30669647455215454,-0.9683724641799927,0.05324358493089676,-0.3958697021007538,-1.236798882484436,-0.06909842789173126,-0.3706558644771576,-0.9435614347457886,-0.12680849432945251,-0.2916761338710785,-0.8142662644386292,-0.14830246567726135,-0.14693106710910797,-0.9888025522232056,0.02609073743224144,-0.22929517924785614,-1.269779086112976,-0.09829214960336685,-0.22034770250320435,-0.9210090041160583,-0.10261230170726776,-0.14709579944610596,-0.8185523748397827,-0.07644355297088623,0.016368580982089043,-0.9745484590530396,-0.028034187853336334,-0.04992768540978432,-1.2895358800888062,-0.13505347073078156,-0.07716453075408936,-0.9572772979736328,-0.0662720575928688,-0.020670775324106216,-0.822638750076294,0.004640090279281139,0.18686038255691528,-0.9156473875045776,-0.09401753544807434,0.1282823085784912,-1.1575334072113037,-0.14430829882621765,0.0637734979391098,-0.9520441293716431,-0.09393315017223358,0.08856616169214249,-0.8258440494537354,-0.04242658615112305,0.6153570413589478,0.2541557252407074,0.1987421214580536,0.15973754227161407,0.14278662204742432,0.49336835741996765,0.5756970047950745,0.6742281913757324,0.7542638778686523,0.04187813773751259,-0.029980767518281937,-0.11106441169977188,-0.06399773806333542,0.4837905764579773,0.28605425357818604,0.1987421214580536,0.20979085564613342,0.29446399211883545
A,0.0,0.0,0.0,-0.2890397608280182,-0.23611247539520264,-0.04730222374200821,-0.45664042234420776,-0.6348117589950562,-0.06608442217111588,-0.5071926712989807,-0.9853808879852295,-0.10037211328744888,-0.5418081879615784,-1.2436963319778442,-0.10679035633802414,-0.3085727095603943,-0.9704571962356567,0.05053532123565674,-0.39828163385391235,-1.2449464797973633,-0.07217282801866531,-0.3733897805213928,-0.9517821669578552,-0.12789595127105713,-0.2928231358528137,-0.8214221596717834,-0.14734123647212982,-0.14893144369125366,-0.9885938763618469,0.022396501153707504,-0.23000934720039368,-1.272473931312561,-0.10188136249780655,-0.22222280502319336,-0.9285364747047424,-0.10437130928039551,-0.14975720643997192,-0.8259374499320984,-0.07632298767566681,0.01581750065088272,-0.972804605960846,-0.03287847712635994,-0.048393651843070984,-1.2934874296188354,-0.14161638915538788,-0.07579054683446884,-0.9626187086105347,-0.07335170358419418,-0.020724834874272346,-0.8292139172554016,-0.0019823655020445585,0.18749728798866272,-0.9163247346878052,-0.09981979429721832,0.1302366852760315,-1.163686990737915,-0.1531287133693695,0.06656890362501144,-0.9580410718917847,-0.10406814515590668,0.08955337852239609,-0.8308866620063782,-0.052713681012392044,0.6161583065986633,0.24822291731834412,0.19027173519134521,0.15135452151298523,0.13824492692947388,0.491887629032135,0.5737200975418091,0.6740239262580872,0.7562761306762695,0.040550876408815384,-0.03046736866235733,-0.10480798780918121,-0.054076675325632095,0.48592042922973633,0.2783201336860657,0.19027173519134521,0.20599326491355896,0.2956148087978363
